Backwater,EventMonth,Species,Stage,HarvestedUntagged,ReturnedUntagged,ReturnedInPool,MortsUntagged,MeanTL,Notes
Yuma Cove backwater,2016-10,XYTE,J,0,0,TRUE,7,287,"7 untagged YoY morts (genetics taken)"
Yuma Cove backwater,2017-10,XYTE,A,0,0,TRUE,2,372,"2 morts fin clipped not tagged; stage assumed adult (newly tagged avg 372 mm)"
Yuma Cove backwater,2019-11,XYTE,J,2782,0,TRUE,95,152,"2782 untagged fish harvested to Lake Mead (avg 152 mm); 95 morts. Cross-checked 2026-09-24 against data/UntaggedBackwaterCaptures.xlsx (count and mean length both confirmed exactly) and data/20191106_XYTE_YUMABW_YC19 Fin Clips.xlsx, an individually-measured subsample of 730 of the 2782 (mean 151.7 mm, SD 21.3, range 100-220 mm) -- see AGENTS.md."
Yuma Cove backwater,2022-11,XYTE,J,0,1000,FALSE,0,NA,"1000 returned untagged; only fish >100 mm were tagged so these assumed below taggable size and NOT in juvenile pool. Cross-checked 2026-09-24 against data/UntaggedBackwaterCaptures.xlsx (count of 1000 confirmed exactly); a separate 9-fish harvested-and-transferred removal from the same date is recorded as a distinct row below (not part of this count) -- see AGENTS.md."
Yuma Cove backwater,2022-11,XYTE,A,9,0,FALSE,0,NA,"9 fish captured at the same event as the 1000-fish juvenile release above but harvested and transferred off-site rather than returned; no length recorded. Stage assumed adult/non-recruit given they were pulled aside for harvest rather than juvenile release, consistent with the convention already used for the 2017-10 mortality row above. Added 2026-09-24 from data/UntaggedBackwaterCaptures.xlsx (Transferred = yes) -- see AGENTS.md."
Yuma Cove backwater,2023-11,XYTE,J,0,100,TRUE,0,119,"100 returned untagged; tagged YoY averaged 119 mm; assumed taggable size (in pool). Cross-checked 2026-09-24 against data/UntaggedBackwaterCaptures.xlsx (count of 100 confirmed exactly; that file does not carry a mean length for this event) -- see AGENTS.md."
Yuma Cove backwater,2024-10,XYTE,J,0,531,TRUE,0,132,"531 returned untagged; YoY from hoops averaged 132 mm; assumed taggable size (in pool). Cross-checked 2026-09-24 against data/UntaggedBackwaterCaptures.xlsx (count and mean length both confirmed exactly) -- see AGENTS.md."
IPCA (Pond 1),2018-12,XYTE,J,0,12,FALSE,0,NA,"12 fish released without tagging, all under 150 mm; assumed below taggable size and NOT in the juvenile pool (same convention as the YCB 2022-11 1000-fish row above). Added 2026-09-24 from data/UntaggedBackwaterCaptures.xlsx -- first IPCA netting-event rows in this file, which was previously YCB-only; see AGENTS.md."
IPCA (Pond 1),2019-05,XYTE,J,0,7,FALSE,0,NA,"7 fish released without tagging, all under 100 mm; assumed below taggable size and NOT in the juvenile pool. Added 2026-09-24 from data/UntaggedBackwaterCaptures.xlsx -- see AGENTS.md."
IPCA (Pond 2),2017-05,GIEL,J,0,191,FALSE,0,34.17,"191 untagged fish (minnow traps/hoops); 41 of the 191 were individually measured, averaging 34.17 mm (min 27, max 47) -- clearly larval-size, well below taggable size, so NOT in the juvenile pool. Added 2026-09-24 from data/UntaggedBackwaterCaptures.xlsx -- see AGENTS.md."
IPCA (Pond 2),2017-05,GIEL,J,0,151,FALSE,0,NA,"151 untagged fish, minnow traps, no lengths recorded; assumed similarly larval-sized to the other May 2017 minnow-trap catches at this pond and NOT in the juvenile pool. Added 2026-09-24 from data/UntaggedBackwaterCaptures.xlsx -- see AGENTS.md."
IPCA (Pond 2),2017-06,GIEL,J,0,361,FALSE,0,NA,"361 untagged fish, minnow traps, no lengths recorded; assumed similarly larval-sized to the other 2017 minnow-trap catches at this pond and NOT in the juvenile pool. Added 2026-09-24 from data/UntaggedBackwaterCaptures.xlsx -- see AGENTS.md."
IPCA (Pond 2),2017-06,GIEL,J,0,96,FALSE,0,NA,"96 untagged fish, minnow traps, no lengths recorded; assumed similarly larval-sized to the other 2017 minnow-trap catches at this pond and NOT in the juvenile pool. Added 2026-09-24 from data/UntaggedBackwaterCaptures.xlsx -- see AGENTS.md."
IPCA (Pond 2),2017-11,GIEL,J,0,1425,TRUE,0,96.3,"1425 untagged YOY across gear types: 1251 from hoops averaged 92.6 mm, 159 from trammel nets averaged 130 mm, 14 from minnow traps averaged 46 mm, 1 from e-fishing averaged 65 mm (weighted mean TL = 96.3 mm, computed here). Assumed taggable size and in the juvenile pool given the dominant hoop-net group's mean is close to sizes treated as taggable elsewhere in this file, though the minnow-trap subgroup (14 fish, 46 mm) is likely below taggable size -- treated as a single pooled event for simplicity. Added 2026-09-24 from data/UntaggedBackwaterCaptures.xlsx -- see AGENTS.md."
IPCA (Pond 2),2018-03,GIEL,J,0,474,TRUE,0,119.2,"474 untagged YOY: 203 from hoops averaged 102 mm, 271 from trammel nets averaged 132 mm (weighted mean TL = 119.2 mm, computed here); a separate 100 tagged YOY from the same event averaged 151 mm (not part of this untagged count). Assumed taggable size and in the juvenile pool. Added 2026-09-24 from data/UntaggedBackwaterCaptures.xlsx -- see AGENTS.md."
IPCA (Pond 2),2018-05,GIEL,J,0,4,TRUE,0,96,"4 untagged fish, minnow traps, averaged 96 mm; assumed taggable size and in the juvenile pool. Added 2026-09-24 from data/UntaggedBackwaterCaptures.xlsx -- see AGENTS.md."
IPCA (Pond 2),2018-06,GIEL,J,0,1,TRUE,0,150,"1 untagged fish captured during a larval survey, 150 mm; assumed taggable size and in the juvenile pool. Added 2026-09-24 from data/UntaggedBackwaterCaptures.xlsx -- see AGENTS.md."
IPCA (Pond 2),2018-12,GIEL,J,0,133,TRUE,0,107,"133 untagged fish averaged 107 mm; assumed taggable size and in the juvenile pool. Added 2026-09-24 from data/UntaggedBackwaterCaptures.xlsx -- see AGENTS.md."
IPCA (Pond 2),2019-05,GIEL,J,0,250,TRUE,0,NA,"250 untagged fish (hoops only); not individually measured, but newly tagged YOY from the same event averaged 147 mm, so assumed a similar size range and in the juvenile pool. Added 2026-09-24 from data/UntaggedBackwaterCaptures.xlsx -- see AGENTS.md."
IPCA (Pond 2),2019-12,GIEL,J,0,178,TRUE,0,167,"178 untagged fish averaged 167 mm; assumed taggable size and in the juvenile pool. Added 2026-09-24 from data/UntaggedBackwaterCaptures.xlsx -- see AGENTS.md."
IPCA (Pond 2),2021-03,GIEL,J,0,3,TRUE,0,95,"3 untagged fish averaged 95 mm (2 measured, 1 escaped prior to measurement); assumed taggable size and in the juvenile pool. Added 2026-09-24 from data/UntaggedBackwaterCaptures.xlsx -- see AGENTS.md."
