"","LAB_ID","Year","offspring_count","PIT.TAG"
"1","IP17P1_025",2020,3,"003BEA6635"
"2","IP17P1_030",2019,12,"003BEA6657"
"3","IP17P1_034",2022,1,"003BEA6659"
"4","IP17P1_034",2025,1,"003BEA6659"
"5","IP17P1_036",2021,1,"003BEA661F"
"6","IP17P1_052",2019,2,"003BEA6654"
"7","IP17P1_066",2020,2,"003BEA663D"
"8","IP17P1_069",2019,1,"003BEA6674"
"9","IP17P1_075",2020,4,"003BEA666B"
"10","IP17P1_075",2021,1,"003BEA666B"
"11","IP17P1_075",2022,7,"003BEA666B"
"12","IP17P1_077",2019,1,"003BEA6621"
"13","IP17P1_077",2020,1,"003BEA6621"
"14","IP17P1_077",2022,8,"003BEA6621"
"15","IP17P1_103",2020,3,"003BEA666F"
"16","IP17P1_111",2020,5,"003BEA6679"
"17","IP17P1_111",2022,94,"003BEA6679"
"18","IP17P1_113",2020,1,"003BEA661C"
"19","IP17P1_123",2021,1,"003BEA7395"
"20","IP17P1_138",2020,31,"003BEA7399"
"21","IP17P1_157",2020,1,"003BEA7389"
"22","IP17P1_165",2020,1,"003BEA73A1"
"23","IP17P1_168",2019,2,"003BEA7377"
"24","IP17P1_168",2020,6,"003BEA7377"
"25","IP17P1_168",2022,18,"003BEA7377"
"26","IP17P1_183",2019,1,"003BEA73BE"
"27","IP17P1_191",2020,4,"003BEA7366"
"28","IP17P1_193",2019,1,"003BEA7388"
"29","IP17P1_193",2021,1,"003BEA7388"
"30","IP17P1_202",2019,1,"003BEA737F"
"31","IP17P1_202",2022,1,"003BEA737F"
"32","IP17P1_204",2019,1,"003BEA7384"
"33","IP17P1_216",2020,8,"003BEA7462"
"34","IP17P1_218",2019,2,"003BEA7484"
"35","IP17P1_218",2020,1,"003BEA7484"
"36","IP17P1_219",2019,1,"003BEA7435"
"37","IP17P1_219",2020,44,"003BEA7435"
"38","IP17P1_219",2021,2,"003BEA7435"
"39","IP17P1_219",2022,11,"003BEA7435"
"40","IP17P1_225",2020,6,"003BEA7430"
"41","IP17P1_233",2019,3,"003BEA742E"
"42","IP17P1_233",2020,11,"003BEA742E"
"43","IP17P1_278",2019,3,"003BEA7441"
"44","IP17P1_278",2020,15,"003BEA7441"
"45","IP17P1_278",2021,2,"003BEA7441"
"46","IP17P1_278",2022,11,"003BEA7441"
"47","IP17P1_290",2019,6,"003BEA7486"
"48","IP17P1_290",2022,3,"003BEA7486"
