"","LAB_ID","Year","offspring_count","PIT.TAG"
"1","IP17P1_008",2020,4,"003BEA88D7"
"2","IP17P1_008",2021,4,"003BEA88D7"
"3","IP17P1_008",2022,94,"003BEA88D7"
"4","IP17P1_013",2022,3,"003BEA88B5"
"5","IP17P1_045",2020,2,"003BEA663A"
"6","IP17P1_046",2019,2,"003BEA6678"
"7","IP17P1_068",2020,1,"003BEA667E"
"8","IP17P1_081",2020,1,"003BEA665C"
"9","IP17P1_081",2022,1,"003BEA665C"
"10","IP17P1_086",2019,17,"003BEA6637"
"11","IP17P1_095",2021,1,"003BEA6650"
"12","IP17P1_097",2020,10,"003BEA6633"
"13","IP17P1_109",2020,1,"003BEA6620"
"14","IP17P1_154",2019,1,"003BEA73C0"
"15","IP17P1_154",2021,1,"003BEA73C0"
"16","IP17P1_166",2019,3,"003BEA73C2"
"17","IP17P1_169",2020,12,"003BEA738D"
"18","IP17P1_177",2020,1,"003BEA73C3"
"19","IP17P1_179",2020,1,"003BEA7365"
"20","IP17P1_179",2022,1,"003BEA7365"
"21","IP17P1_197",2019,1,"003BEA73A7"
"22","IP17P1_205",2022,3,"003BEA7380"
"23","IP17P1_206",2021,1,"003BEA73B2"
"24","IP17P1_242",2020,8,"003BEA7432"
"25","IP17P1_245",2022,1,"003BEA7487"
"26","IP17P1_246",2021,1,"003BEA7438"
"27","IP17P1_248",2022,3,"003BEA742F"
"28","IP17P1_249",2019,8,"003BEA7475"
"29","IP17P1_259",2021,1,"003BEA7476"
"30","IP17P1_274",2022,2,"003BEA7440"
"31","IP17P1_275",2021,6,"003BEA7465"
"32","IP17P1_280",2020,1,"003BEA7452"
"33","IP17P1_280",2022,7,"003BEA7452"
"34","IP17P1_284",2020,9,"003BEA7457"
"35","IP17P1_284",2022,3,"003BEA7457"
"36","IP17P1_287",2020,97,"003BEA7478"
"37","IP17P1_287",2022,2,"003BEA7478"
"38","IP17P1_295",2020,2,"003BEA7471"
