"","LAB_ID","Year","offspring_count","PIT.TAG"
"1","IP17P1_010",2018,3,"003BEA888E"
"2","IP17P1_018",2018,4,"003BEA664F"
"3","IP17P1_018",2021,1,"003BEA664F"
"4","IP17P1_024",2018,1,"003BEA667A"
"5","IP17P1_025",2020,3,"003BEA6635"
"6","IP17P1_025",2021,1,"003BEA6635"
"7","IP17P1_025",2022,1,"003BEA6635"
"8","IP17P1_030",2018,9,"003BEA6657"
"9","IP17P1_030",2019,13,"003BEA6657"
"10","IP17P1_034",2018,1,"003BEA6659"
"11","IP17P1_034",2020,1,"003BEA6659"
"12","IP17P1_034",2021,2,"003BEA6659"
"13","IP17P1_034",2022,1,"003BEA6659"
"14","IP17P1_036",2019,1,"003BEA661F"
"15","IP17P1_036",2021,3,"003BEA661F"
"16","IP17P1_049",2020,1,"003BEA6646"
"17","IP17P1_052",2019,1,"003BEA6654"
"18","IP17P1_052",2021,5,"003BEA6654"
"19","IP17P1_066",2018,1,"003BEA663D"
"20","IP17P1_066",2022,1,"003BEA663D"
"21","IP17P1_069",2018,1,"003BEA6674"
"22","IP17P1_075",2018,1,"003BEA666B"
"23","IP17P1_075",2019,1,"003BEA666B"
"24","IP17P1_075",2021,5,"003BEA666B"
"25","IP17P1_077",2020,1,"003BEA6621"
"26","IP17P1_088",2020,3,"003BEA665E"
"27","IP17P1_088",2021,2,"003BEA665E"
"28","IP17P1_088",2022,3,"003BEA665E"
"29","IP17P1_098",2018,4,"003BEA6671"
"30","IP17P1_098",2020,7,"003BEA6671"
"31","IP17P1_098",2021,2,"003BEA6671"
"32","IP17P1_098",2022,1,"003BEA6671"
"33","IP17P1_098",2024,2,"003BEA6671"
"34","IP17P1_103",2020,2,"003BEA666F"
"35","IP17P1_103",2021,5,"003BEA666F"
"36","IP17P1_111",2022,4,"003BEA6679"
"37","IP17P1_113",2018,1,"003BEA661C"
"38","IP17P1_113",2020,2,"003BEA661C"
"39","IP17P1_113",2021,1,"003BEA661C"
"40","IP17P1_113",2022,1,"003BEA661C"
"41","IP17P1_113",2024,1,"003BEA661C"
"42","IP17P1_123",2021,3,"003BEA7395"
"43","IP17P1_123",2022,1,"003BEA7395"
"44","IP17P1_138",2021,2,"003BEA7399"
"45","IP17P1_140",2022,4,"003BEA73C6"
"46","IP17P1_160",2018,1,"003BEA73B5"
"47","IP17P1_165",2018,2,"003BEA73A1"
"48","IP17P1_168",2018,3,"003BEA7377"
"49","IP17P1_168",2019,2,"003BEA7377"
"50","IP17P1_168",2020,1,"003BEA7377"
"51","IP17P1_168",2022,1,"003BEA7377"
"52","IP17P1_175",2019,2,"003BEA739B"
"53","IP17P1_175",2020,2,"003BEA739B"
"54","IP17P1_183",2019,2,"003BEA73BE"
"55","IP17P1_183",2020,4,"003BEA73BE"
"56","IP17P1_183",2021,2,"003BEA73BE"
"57","IP17P1_189",2018,22,"003BEA738A"
"58","IP17P1_190",2018,2,"003BEA736C"
"59","IP17P1_190",2019,1,"003BEA736C"
"60","IP17P1_190",2022,1,"003BEA736C"
"61","IP17P1_191",2019,1,"003BEA7366"
"62","IP17P1_191",2020,4,"003BEA7366"
"63","IP17P1_193",2020,1,"003BEA7388"
"64","IP17P1_193",2021,2,"003BEA7388"
"65","IP17P1_202",2020,1,"003BEA737F"
"66","IP17P1_203",2022,1,"003BEA73AC"
"67","IP17P1_204",2018,1,"003BEA7384"
"68","IP17P1_204",2019,1,"003BEA7384"
"69","IP17P1_204",2020,2,"003BEA7384"
"70","IP17P1_218",2018,5,"003BEA7484"
"71","IP17P1_218",2019,2,"003BEA7484"
"72","IP17P1_219",2018,1,"003BEA7435"
"73","IP17P1_219",2021,10,"003BEA7435"
"74","IP17P1_219",2022,4,"003BEA7435"
"75","IP17P1_224",2018,2,"003BEA742C"
"76","IP17P1_225",2018,7,"003BEA7430"
"77","IP17P1_225",2022,2,"003BEA7430"
"78","IP17P1_233",2019,1,"003BEA742E"
"79","IP17P1_233",2020,1,"003BEA742E"
"80","IP17P1_233",2021,1,"003BEA742E"
"81","IP17P1_277",2020,1,"003BEA746D"
"82","IP17P1_277",2022,9,"003BEA746D"
"83","IP17P1_277",2024,1,"003BEA746D"
"84","IP17P1_278",2018,1,"003BEA7441"
"85","IP17P1_278",2019,2,"003BEA7441"
"86","IP17P1_278",2020,1,"003BEA7441"
"87","IP17P1_278",2021,4,"003BEA7441"
"88","IP17P1_278",2022,3,"003BEA7441"
"89","IP17P1_285",2018,17,"003BEA745E"
"90","IP17P1_290",2019,3,"003BEA7486"
"91","IP17P1_290",2020,7,"003BEA7486"
"92","IP17P1_290",2022,3,"003BEA7486"
"93","IP17P1_290",2024,1,"003BEA7486"
"94","IP17P1_297",2021,1,"003BEA7436"
