"","LAB_ID","Year","offspring_count","PIT.TAG"
"1","IP17P1_008",2019,1,"003BEA88D7"
"2","IP17P1_008",2020,3,"003BEA88D7"
"3","IP17P1_008",2021,22,"003BEA88D7"
"4","IP17P1_012",2020,2,"003BEA88DA"
"5","IP17P1_013",2018,1,"003BEA88B5"
"6","IP17P1_013",2020,2,"003BEA88B5"
"7","IP17P1_013",2022,3,"003BEA88B5"
"8","IP17P1_028",2018,1,"003BEA6665"
"9","IP17P1_038",2018,1,"003BEA667D"
"10","IP17P1_038",2021,1,"003BEA667D"
"11","IP17P1_039",2018,1,"003BEA662D"
"12","IP17P1_053",2018,1,"003BEA6675"
"13","IP17P1_058",2022,1,"003BEA6632"
"14","IP17P1_068",2018,1,"003BEA667E"
"15","IP17P1_081",2022,1,"003BEA665C"
"16","IP17P1_083",2019,1,"003BEA6651"
"17","IP17P1_083",2022,1,"003BEA6651"
"18","IP17P1_085",2020,1,"003BEA665B"
"19","IP17P1_086",2019,4,"003BEA6637"
"20","IP17P1_086",2020,17,"003BEA6637"
"21","IP17P1_094",2022,1,"003BEA6669"
"22","IP17P1_095",2021,4,"003BEA6650"
"23","IP17P1_096",2018,1,"003BEA6672"
"24","IP17P1_096",2019,1,"003BEA6672"
"25","IP17P1_096",2020,1,"003BEA6672"
"26","IP17P1_096",2021,1,"003BEA6672"
"27","IP17P1_097",2022,1,"003BEA6633"
"28","IP17P1_109",2018,20,"003BEA6620"
"29","IP17P1_109",2021,1,"003BEA6620"
"30","IP17P1_114",2020,1,"003BEA7387"
"31","IP17P1_120",2020,1,"003BEA7394"
"32","IP17P1_120",2021,1,"003BEA7394"
"33","IP17P1_125",2018,1,"003BEA7386"
"34","IP17P1_127",2021,1,"003BEA736E"
"35","IP17P1_141",2018,8,"003BEA739A"
"36","IP17P1_141",2020,1,"003BEA739A"
"37","IP17P1_141",2021,2,"003BEA739A"
"38","IP17P1_146",2018,2,"003BEA73B6"
"39","IP17P1_146",2024,1,"003BEA73B6"
"40","IP17P1_147",2018,6,"003BEA73C5"
"41","IP17P1_148",2018,20,"003BEA73BF"
"42","IP17P1_148",2020,2,"003BEA73BF"
"43","IP17P1_148",2021,1,"003BEA73BF"
"44","IP17P1_152",2018,1,"003BEA7398"
"45","IP17P1_152",2019,1,"003BEA7398"
"46","IP17P1_154",2019,1,"003BEA73C0"
"47","IP17P1_154",2020,3,"003BEA73C0"
"48","IP17P1_154",2021,1,"003BEA73C0"
"49","IP17P1_159",2022,1,"003BEA73BA"
"50","IP17P1_169",2019,3,"003BEA738D"
"51","IP17P1_177",2022,1,"003BEA73C3"
"52","IP17P1_178",2022,3,"003BEA73AF"
"53","IP17P1_179",2018,1,"003BEA7365"
"54","IP17P1_179",2019,1,"003BEA7365"
"55","IP17P1_182",2020,1,"003BEA739F"
"56","IP17P1_192",2018,1,"003BEA7369"
"57","IP17P1_192",2019,1,"003BEA7369"
"58","IP17P1_192",2021,1,"003BEA7369"
"59","IP17P1_206",2018,1,"003BEA73B2"
"60","IP17P1_206",2021,3,"003BEA73B2"
"61","IP17P1_206",2022,1,"003BEA73B2"
"62","IP17P1_214",2021,2,"003BEA748A"
"63","IP17P1_234",2018,2,"003BEA7449"
"64","IP17P1_235",2021,1,"003BEA746C"
"65","IP17P1_237",2019,1,"003BEA7433"
"66","IP17P1_237",2020,1,"003BEA7433"
"67","IP17P1_237",2022,1,"003BEA7433"
"68","IP17P1_239",2018,2,"003BEA745F"
"69","IP17P1_239",2020,1,"003BEA745F"
"70","IP17P1_240",2018,3,"003BEA7489"
"71","IP17P1_245",2019,1,"003BEA7487"
"72","IP17P1_245",2022,2,"003BEA7487"
"73","IP17P1_246",2019,2,"003BEA7438"
"74","IP17P1_246",2020,1,"003BEA7438"
"75","IP17P1_246",2021,2,"003BEA7438"
"76","IP17P1_247",2018,10,"003BEA7479"
"77","IP17P1_247",2021,1,"003BEA7479"
"78","IP17P1_248",2022,1,"003BEA742F"
"79","IP17P1_249",2019,9,"003BEA7475"
"80","IP17P1_249",2020,1,"003BEA7475"
"81","IP17P1_251",2018,1,"003BEA747D"
"82","IP17P1_251",2021,1,"003BEA747D"
"83","IP17P1_259",2021,1,"003BEA7476"
"84","IP17P1_259",2022,4,"003BEA7476"
"85","IP17P1_260",2018,14,"003BEA745D"
"86","IP17P1_260",2024,1,"003BEA745D"
"87","IP17P1_261",2019,1,"003BEA743C"
"88","IP17P1_261",2022,1,"003BEA743C"
"89","IP17P1_262",2020,12,"003BEA743B"
"90","IP17P1_262",2021,2,"003BEA743B"
"91","IP17P1_262",2022,2,"003BEA743B"
"92","IP17P1_262",2024,2,"003BEA743B"
"93","IP17P1_264",2020,1,"003BEA7473"
"94","IP17P1_265",2020,1,"003BEA746A"
"95","IP17P1_265",2021,1,"003BEA746A"
"96","IP17P1_270",2020,1,"003BEA7455"
"97","IP17P1_274",2020,1,"003BEA7440"
"98","IP17P1_275",2018,3,"003BEA7465"
"99","IP17P1_275",2021,19,"003BEA7465"
"100","IP17P1_275",2022,5,"003BEA7465"
"101","IP17P1_280",2022,1,"003BEA7452"
"102","IP17P1_281",2021,2,"003BEA7483"
"103","IP17P1_284",2022,1,"003BEA7457"
"104","IP17P1_288",2020,1,"003BEA743E"
"105","IP17P1_289",2018,6,"003BEA746B"
"106","IP17P1_289",2020,1,"003BEA746B"
"107","IP17P1_291",2018,3,"003BEA7459"
"108","IP17P1_293",2018,1,"003BEA7456"
"109","IP17P1_293",2022,1,"003BEA7456"
"110","IP17P1_295",2019,1,"003BEA7471"
