,LAB_ID,Year,offspring_count,stocking group,PIT.TAG
1,Yuma13_009,2015,3,2013,1B796A8C17
2,Yuma13_009,2016,5,2013,1B796A8C17
3,Yuma13_009,2017,1,2013,1B796A8C17
4,Yuma13_009,2018,1,2013,1B796A8C17
5,Yuma13_012,2018,1,2013,1B796EE9F8
6,Yuma13_012,2020,4,2013,1B796EE9F8
7,Yuma13_017,2015,9,2013,1B796EDFB2
8,Yuma13_017,2016,5,2013,1B796EDFB2
9,Yuma13_017,2017,2,2013,1B796EDFB2
10,Yuma13_017,2018,4,2013,1B796EDFB2
11,Yuma13_017,2020,2,2013,1B796EDFB2
12,Yuma13_023,2015,7,2013,1B796EE613
13,Yuma13_023,2016,10,2013,1B796EE613
14,Yuma13_023,2017,1,2013,1B796EE613
15,Yuma13_023,2020,1,2013,1B796EE613
16,Yuma13_025,2013,4,2013,1B796EF33C
17,Yuma13_025,2015,1,2013,1B796EF33C
18,Yuma13_026,2013,1,2013,1B796EEB47
19,Yuma13_031,2013,1,2013,1B796EEB36
20,Yuma13_036,2013,11,2013,1B796EDC77
21,Yuma13_039,2015,1,2013,1B796EE7AA
22,Yuma13_043,2013,3,2013,1B796EE5EA
23,Yuma13_064,2013,1,2013,1B796EE3D0
24,Yuma13_064,2015,1,2013,1B796EE3D0
25,Yuma13_064,2016,7,2013,1B796EE3D0
26,Yuma13_065,2013,3,2013,1B796EE451
27,Yuma13_067,2013,1,2013,1B796EDF2C
28,Yuma13_067,2016,1,2013,1B796EDF2C
29,Yuma13_067,2017,3,2013,1B796EDF2C
30,Yuma13_067,2020,1,2013,1B796EDF2C
31,Yuma13_070,2013,8,2013,1B796EE478
32,Yuma13_070,2015,13,2013,1B796EE478
33,Yuma13_070,2016,20,2013,1B796EE478
34,Yuma13_070,2017,1,2013,1B796EE478
35,Yuma13_070,2018,1,2013,1B796EE478
36,Yuma13_070,2020,1,2013,1B796EE478
37,Yuma13_070,2022,3,2013,1B796EE478
38,Yuma13_070,2023,1,2013,1B796EE478
39,Yuma13_071,2013,1,2013,1B796EEAE7
40,Yuma13_074,2013,25,2013,1B796EE6A9
41,Yuma13_086,2013,6,2013,1B796EF11C
42,Yuma13_086,2015,46,2013,1B796EF11C
43,Yuma13_086,2016,17,2013,1B796EF11C
44,Yuma13_086,2017,4,2013,1B796EF11C
45,Yuma13_086,2018,1,2013,1B796EF11C
46,Yuma13_086,2020,3,2013,1B796EF11C
47,Yuma13_086,2022,1,2013,1B796EF11C
48,Yuma13_089,2016,12,2013,1B796EEB53
49,Yuma13_089,2022,1,2013,1B796EEB53
50,Yuma13_093,2013,2,2013,1B796EE807
51,Yuma13_104,2018,2,2013,1B796EEFA5
52,Yuma13_104,2023,3,2013,1B796EEFA5
53,Yuma13_104,2024,2,2013,1B796EEFA5
54,Yuma13_114,2016,13,2013,1B796EE3EC
55,Yuma13_115,2013,3,2013,1B796EE38D
56,Yuma13_118,2016,4,2013,1B796EEDC0
57,Yuma13_118,2020,1,2013,1B796EEDC0
58,Yuma13_118,2022,4,2013,1B796EEDC0
59,Yuma13_127,2015,1,2013,1B796EEC80
60,Yuma13_127,2016,1,2013,1B796EEC80
61,Yuma13_127,2020,1,2013,1B796EEC80
62,Yuma13_132,2013,1,2013,1B796EE96D
63,Yuma13_153,2013,2,2013,1B796EF5D2
64,Yuma13_157,2013,2,2013,1B796EE81F
65,Yuma13_158,2015,11,2013,1B796EF45C
66,Yuma13_158,2016,17,2013,1B796EF45C
67,Yuma13_158,2017,5,2013,1B796EF45C
68,Yuma13_158,2020,1,2013,1B796EF45C
69,Yuma13_158,2022,3,2013,1B796EF45C
70,Yuma13_158,2023,1,2013,1B796EF45C
71,Yuma13_158,2024,3,2013,1B796EF45C
72,Yuma13_162,2013,15,2013,1B796ED7E8
73,Yuma13_183,2013,20,2013,1B796EE0E4
74,Yuma13_184,2013,6,2013,1B796EE713
75,Yuma13_188,2016,5,2013,1B796EEB37
76,Yuma13_191,2013,1,2013,1B796EE116
77,Yuma13_192,2015,1,2013,1B796ED88F
78,Yuma13_192,2016,6,2013,1B796ED88F
79,Yuma14_035,2015,1,2014,003ba6409d
80,Yuma14_035,2016,5,2014,003ba6409d
81,Yuma14_035,2017,1,2014,003ba6409d
82,Yuma14_035,2020,2,2014,003ba6409d
83,Yuma14_035,2024,1,2014,003ba6409d
84,Yuma14_038,2017,1,2014,003ba64094
85,Yuma14_038,2018,5,2014,003ba64094
86,Yuma14_038,2020,2,2014,003ba64094
87,Yuma14_079,2018,11,2014,003ba640c1
88,Yuma15_029,2022,1,2015,003BCB8AA1
