"","Backwater","CollectionYear","CollectionMonth","PITIndex","species","Contacts","FirstRecord","SizeClass","total_length","Mortality","Transfer","SizeClassText"
"1","IPCA (Pond 1)",2018,12,"003BEA664F","XYTE",1,0,2,494,0,0,"Size Class Two"
"2","IPCA (Pond 1)",2018,12,"003BEA7368","XYTE",1,0,3,566,0,0,"Size Class Three"
"3","IPCA (Pond 1)",2018,12,"003BEA7390","XYTE",1,0,3,543,0,0,"Size Class Three"
"4","IPCA (Pond 1)",2018,12,"003BEA739B","XYTE",1,0,3,507,0,0,"Size Class Three"
"5","IPCA (Pond 1)",2018,12,"003BEA73AF","XYTE",1,0,3,536,0,0,"Size Class Three"
"6","IPCA (Pond 1)",2018,12,"003BEA73B5","XYTE",1,0,3,502,0,0,"Size Class Three"
"7","IPCA (Pond 1)",2018,12,"003BEA7452","XYTE",1,0,3,548,0,0,"Size Class Three"
"8","IPCA (Pond 1)",2018,12,"003BEA7459","XYTE",1,0,3,551,0,0,"Size Class Three"
"9","IPCA (Pond 1)",2018,12,"003BEA7487","XYTE",1,0,3,524,0,0,"Size Class Three"
"10","IPCA (Pond 1)",2018,12,"003C06F1ED","XYTE",1,1,0,NA,0,0,"No TL Provided"
"11","IPCA (Pond 1)",2018,12,"003D4F43D0","XYTE",1,1,1,297,0,0,"Size Class One"
"12","IPCA (Pond 1)",2018,12,"003D4F43D2","XYTE",1,1,1,204,0,0,"Size Class One"
"13","IPCA (Pond 1)",2018,12,"003D4F43D3","XYTE",1,1,1,170,0,0,"Size Class One"
"14","IPCA (Pond 1)",2018,12,"003D4F43D4","XYTE",1,1,1,293,0,0,"Size Class One"
"15","IPCA (Pond 1)",2018,12,"003D4F43D6","XYTE",1,1,1,287,0,0,"Size Class One"
"16","IPCA (Pond 1)",2018,12,"003D4F43D8","XYTE",1,1,1,311,0,0,"Size Class One"
"17","IPCA (Pond 1)",2018,12,"003D4F43D9","XYTE",1,1,1,293,0,0,"Size Class One"
"18","IPCA (Pond 1)",2018,12,"003D4F43DA","XYTE",1,1,1,315,0,0,"Size Class One"
"19","IPCA (Pond 1)",2018,12,"003D4F43DB","XYTE",1,1,1,224,0,0,"Size Class One"
"20","IPCA (Pond 1)",2018,12,"003D4F43DD","XYTE",1,1,1,263,0,0,"Size Class One"
"21","IPCA (Pond 1)",2018,12,"003D4F43DE","XYTE",1,1,1,221,0,0,"Size Class One"
"22","IPCA (Pond 1)",2018,12,"003D4F43DF","XYTE",1,1,1,257,0,0,"Size Class One"
"23","IPCA (Pond 1)",2018,12,"003D4F43E1","XYTE",1,1,1,307,0,0,"Size Class One"
"24","IPCA (Pond 1)",2018,12,"003D4F43E2","XYTE",1,1,1,270,0,0,"Size Class One"
"25","IPCA (Pond 1)",2018,12,"003D4F43E3","XYTE",1,1,1,272,0,0,"Size Class One"
"26","IPCA (Pond 1)",2018,12,"003D4F43E4","XYTE",1,1,1,259,0,0,"Size Class One"
"27","IPCA (Pond 1)",2018,12,"003D4F43E7","XYTE",1,1,1,175,0,0,"Size Class One"
"28","IPCA (Pond 1)",2018,12,"003D4F43E8","XYTE",1,1,1,228,0,0,"Size Class One"
"29","IPCA (Pond 1)",2018,12,"003D4F43E9","XYTE",1,1,1,195,0,0,"Size Class One"
"30","IPCA (Pond 1)",2018,12,"003D4F43EA","XYTE",1,1,1,282,0,0,"Size Class One"
"31","IPCA (Pond 1)",2018,12,"003D4F43EE","XYTE",1,1,1,337,0,0,"Size Class One"
"32","IPCA (Pond 1)",2018,12,"003D4F43EF","XYTE",1,1,1,320,0,0,"Size Class One"
"33","IPCA (Pond 1)",2018,12,"003D4F43F2","XYTE",1,1,1,257,0,0,"Size Class One"
"34","IPCA (Pond 1)",2018,12,"003D4F43F4","XYTE",1,1,1,280,0,0,"Size Class One"
"35","IPCA (Pond 1)",2018,12,"003D4F43F5","XYTE",1,1,1,279,0,0,"Size Class One"
"36","IPCA (Pond 1)",2018,12,"003D4F43F6","XYTE",1,1,1,227,0,0,"Size Class One"
"37","IPCA (Pond 1)",2018,12,"003D4F43F7","XYTE",1,1,1,260,0,0,"Size Class One"
"38","IPCA (Pond 1)",2018,12,"003D4F43F8","XYTE",1,1,1,300,0,0,"Size Class One"
"39","IPCA (Pond 1)",2018,12,"003D4F43F9","XYTE",1,1,1,305,0,0,"Size Class One"
"40","IPCA (Pond 1)",2018,12,"003D4F43FA","XYTE",1,1,1,290,0,0,"Size Class One"
"41","IPCA (Pond 1)",2018,12,"003D4F43FB","XYTE",1,1,1,273,0,0,"Size Class One"
"42","IPCA (Pond 1)",2018,12,"003D4F43FC","XYTE",1,1,1,231,0,0,"Size Class One"
"43","IPCA (Pond 1)",2018,12,"003D4F43FE","XYTE",1,1,1,196,0,0,"Size Class One"
"44","IPCA (Pond 1)",2018,12,"003D4F4400","XYTE",1,1,1,280,0,0,"Size Class One"
"45","IPCA (Pond 1)",2018,12,"003D4F4402","XYTE",1,1,1,277,0,0,"Size Class One"
"46","IPCA (Pond 1)",2018,12,"003D4F4404","XYTE",1,1,1,266,0,0,"Size Class One"
"47","IPCA (Pond 1)",2018,12,"003D4F4405","XYTE",1,1,1,265,0,0,"Size Class One"
"48","IPCA (Pond 1)",2018,12,"003D4F4406","XYTE",1,1,1,290,0,0,"Size Class One"
"49","IPCA (Pond 1)",2018,12,"003D4F4407","XYTE",1,1,1,284,0,0,"Size Class One"
"50","IPCA (Pond 1)",2018,12,"003D4F4408","XYTE",1,1,1,312,0,0,"Size Class One"
"51","IPCA (Pond 1)",2018,12,"003D4F4409","XYTE",1,1,1,326,0,0,"Size Class One"
"52","IPCA (Pond 1)",2018,12,"003D4F440A","XYTE",1,1,1,237,0,0,"Size Class One"
"53","IPCA (Pond 1)",2018,12,"003D4F440B","XYTE",1,1,1,348,0,0,"Size Class One"
"54","IPCA (Pond 1)",2018,12,"003D4F440E","XYTE",1,1,1,261,0,0,"Size Class One"
"55","IPCA (Pond 1)",2018,12,"003D4F440F","XYTE",1,1,1,249,0,0,"Size Class One"
"56","IPCA (Pond 1)",2018,12,"003D4F4410","XYTE",1,1,1,295,0,0,"Size Class One"
"57","IPCA (Pond 1)",2018,12,"003D4F4411","XYTE",1,1,1,302,0,0,"Size Class One"
"58","IPCA (Pond 1)",2018,12,"003D4F4412","XYTE",1,1,1,348,0,0,"Size Class One"
"59","IPCA (Pond 1)",2018,12,"003D4F4413","XYTE",1,1,1,218,0,0,"Size Class One"
"60","IPCA (Pond 1)",2018,12,"003D4F4414","XYTE",1,1,1,296,0,0,"Size Class One"
"61","IPCA (Pond 1)",2018,12,"003D4F4416","XYTE",1,1,1,272,0,0,"Size Class One"
"62","IPCA (Pond 1)",2018,12,"003D4F4417","XYTE",1,1,1,223,0,0,"Size Class One"
"63","IPCA (Pond 1)",2018,12,"003D4F4418","XYTE",1,1,1,264,0,0,"Size Class One"
"64","IPCA (Pond 1)",2018,12,"003D4F4419","XYTE",1,1,1,250,0,0,"Size Class One"
"65","IPCA (Pond 1)",2018,12,"003D4F441A","XYTE",1,1,1,294,0,0,"Size Class One"
"66","IPCA (Pond 1)",2018,12,"003D4F441B","XYTE",1,1,1,195,0,0,"Size Class One"
"67","IPCA (Pond 1)",2018,12,"003D4F441D","XYTE",1,1,1,229,0,0,"Size Class One"
"68","IPCA (Pond 1)",2018,12,"003D4F441F","XYTE",1,1,1,196,0,0,"Size Class One"
"69","IPCA (Pond 1)",2018,12,"003D4F4422","XYTE",1,1,1,285,0,0,"Size Class One"
"70","IPCA (Pond 1)",2018,12,"003D4F4424","XYTE",1,1,1,303,0,0,"Size Class One"
"71","IPCA (Pond 1)",2018,12,"003D4F4426","XYTE",1,1,1,216,0,0,"Size Class One"
"72","IPCA (Pond 1)",2018,12,"003D4F4427","XYTE",1,1,1,266,0,0,"Size Class One"
"73","IPCA (Pond 1)",2018,12,"003D4F4428","XYTE",1,1,1,337,0,0,"Size Class One"
"74","IPCA (Pond 1)",2018,12,"003D4F442C","XYTE",1,1,1,208,0,0,"Size Class One"
"75","IPCA (Pond 1)",2018,12,"003D4F442D","XYTE",1,1,1,300,0,0,"Size Class One"
"76","IPCA (Pond 1)",2018,12,"003D4F442E","XYTE",1,1,1,236,0,0,"Size Class One"
"77","IPCA (Pond 1)",2018,12,"003D4F442F","XYTE",1,1,1,300,0,0,"Size Class One"
"78","IPCA (Pond 1)",2018,12,"003D4F4431","XYTE",1,1,1,200,0,0,"Size Class One"
"79","IPCA (Pond 1)",2018,12,"003D4F4432","XYTE",1,1,1,227,0,0,"Size Class One"
"80","IPCA (Pond 1)",2018,12,"003D4F4433","XYTE",1,1,1,266,0,0,"Size Class One"
