"location","Year","UNM_Recruits","NFWG_FirstCapture","Pct_Captured_Tagged"
"IPCA (Pond 2)",2017,542,0,0
"IPCA (Pond 2)",2018,126,164,130.2
"IPCA (Pond 2)",2019,96,246,256.2
"IPCA (Pond 2)",2020,36,0,0
"IPCA (Pond 2)",2021,0,36,NA
"IPCA (Pond 2)",2022,0,110,NA
"IPCA (Pond 2)",2023,0,301,NA
"IPCA (Pond 5)",2017,13,4,30.8
"IPCA (Pond 5)",2018,25,33,132
"IPCA (Pond 5)",2019,112,111,99.1
"IPCA (Pond 5)",2020,0,0,NA
"IPCA (Pond 5)",2022,0,2,NA
"IPCA (Pond 5)",2023,0,8,NA
"IPCA (Pond 6)",2017,8,5,62.5
"IPCA (Pond 6)",2018,16,15,93.8
"IPCA (Pond 6)",2019,83,77,92.8
"IPCA (Pond 6)",2020,74,0,0
"IPCA (Pond 6)",2021,0,128,NA
"IPCA (Pond 6)",2022,0,138,NA
"IPCA (Pond 6)",2023,0,47,NA
"IPCA (Pond 6)",2024,0,13,NA
