"","Backwater","CollectionYear","CollectionMonth","PITIndex","species","Contacts","FirstRecord","SizeClass","total_length","Mortality","Transfer","SizeClassText","FirstDate","FirstEvent"
"1","Yuma Cove backwater",2020,11,"003BCB950F","XYTE",1,0,2,473,0,0,"Size Class Two",2016-05-03,"capture"
"2","Yuma Cove backwater",2020,11,"003BCB9522","XYTE",1,0,3,520,0,0,"Size Class Three",2016-05-03,"capture"
"3","Yuma Cove backwater",2020,11,"003BCB9533","XYTE",1,0,2,498,0,0,"Size Class Two",2016-05-03,"capture"
"4","Yuma Cove backwater",2020,11,"003BCB9540","XYTE",1,0,2,488,0,0,"Size Class Two",2016-05-03,"capture"
"5","Yuma Cove backwater",2020,11,"003BCB9556","XYTE",1,0,2,433,0,0,"Size Class Two",2016-05-03,"capture"
"6","Yuma Cove backwater",2020,11,"003BCC0399","XYTE",1,0,3,511,0,0,"Size Class Three",2015-05-14,"capture"
"7","Yuma Cove backwater",2020,11,"003BCC03A5","XYTE",1,0,3,527,0,0,"Size Class Three",2015-05-14,"capture"
"8","Yuma Cove backwater",2020,11,"003BCC03A6","XYTE",1,0,3,550,0,0,"Size Class Three",2015-05-14,"capture"
"9","Yuma Cove backwater",2020,11,"003BCC03BC","XYTE",1,0,3,547,0,0,"Size Class Three",2015-05-14,"capture"
"10","Yuma Cove backwater",2020,11,"003BCC03CF","XYTE",1,0,3,546,0,0,"Size Class Three",2015-05-14,"capture"
"11","Yuma Cove backwater",2020,11,"003BCC03D0","XYTE",1,0,3,520,0,0,"Size Class Three",2015-05-14,"capture"
"12","Yuma Cove backwater",2020,11,"003BCC03DA","XYTE",1,0,3,527,0,0,"Size Class Three",2015-05-14,"capture"
"13","Yuma Cove backwater",2020,11,"003BCC03E0","XYTE",1,0,3,525,0,0,"Size Class Three",2015-05-14,"capture"
"14","Yuma Cove backwater",2020,11,"003BCC03E2","XYTE",1,0,3,557,0,0,"Size Class Three",2015-05-14,"capture"
"15","Yuma Cove backwater",2020,11,"003BE65E18","XYTE",1,0,3,510,0,0,"Size Class Three",2017-10-12,"capture"
"16","Yuma Cove backwater",2020,11,"003BE65E22","XYTE",1,0,3,511,0,0,"Size Class Three",2017-10-12,"capture"
"17","Yuma Cove backwater",2020,11,"003BE65E40","XYTE",1,0,2,477,0,0,"Size Class Two",2017-10-12,"capture"
"18","Yuma Cove backwater",2020,11,"003BE65E45","XYTE",1,0,2,490,0,0,"Size Class Two",2017-10-12,"capture"
"19","Yuma Cove backwater",2020,11,"003BE65E4B","XYTE",1,0,3,510,0,0,"Size Class Three",2017-10-12,"capture"
"20","Yuma Cove backwater",2020,11,"003BE65E5A","XYTE",1,0,3,500,0,0,"Size Class Three",2017-10-12,"capture"
"21","Yuma Cove backwater",2020,11,"003BE65E61","XYTE",1,0,3,504,0,0,"Size Class Three",2017-10-12,"capture"
"22","Yuma Cove backwater",2020,11,"003BE65E6D","XYTE",1,0,2,452,0,0,"Size Class Two",2017-10-12,"capture"
"23","Yuma Cove backwater",2020,11,"003BE65E70","XYTE",1,0,2,488,0,0,"Size Class Two",2017-10-12,"capture"
"24","Yuma Cove backwater",2020,11,"003BE65E72","XYTE",1,0,3,545,0,0,"Size Class Three",2017-10-12,"capture"
"25","Yuma Cove backwater",2020,11,"003BE65F89","XYTE",1,0,3,525,0,0,"Size Class Three",2017-05-09,"capture"
"26","Yuma Cove backwater",2020,11,"003BE65F9D","XYTE",1,0,2,461,0,0,"Size Class Two",2017-05-09,"capture"
"27","Yuma Cove backwater",2020,11,"003BE8F1FB","XYTE",1,0,2,480,0,0,"Size Class Two",2016-10-13,"capture"
"28","Yuma Cove backwater",2020,11,"003C06EE72","XYTE",1,0,3,503,0,0,"Size Class Three",2018-10-11,"capture"
"29","Yuma Cove backwater",2020,11,"003D7727A7","XYTE",1,0,2,429,0,0,"Size Class Two",2020-02-12,"stocking"
"30","Yuma Cove backwater",2020,11,"003D7727AD","XYTE",1,0,2,424,0,0,"Size Class Two",2020-02-12,"stocking"
"31","Yuma Cove backwater",2020,11,"003D7727B2","XYTE",1,0,2,466,0,0,"Size Class Two",2020-02-12,"stocking"
"32","Yuma Cove backwater",2020,11,"003D7727B6","XYTE",1,0,2,427,0,0,"Size Class Two",2020-02-12,"stocking"
"33","Yuma Cove backwater",2020,11,"003D7727BD","XYTE",1,0,2,431,0,0,"Size Class Two",2020-02-12,"stocking"
"34","Yuma Cove backwater",2020,11,"003D7727C3","XYTE",1,0,2,424,0,0,"Size Class Two",2020-02-12,"stocking"
"35","Yuma Cove backwater",2020,11,"003D7727C9","XYTE",1,0,2,427,0,0,"Size Class Two",2020-02-12,"stocking"
"36","Yuma Cove backwater",2020,11,"003D7727CC","XYTE",1,0,2,439,0,0,"Size Class Two",2020-02-12,"stocking"
"37","Yuma Cove backwater",2020,11,"003D7727D0","XYTE",1,0,2,448,0,0,"Size Class Two",2020-02-12,"stocking"
"38","Yuma Cove backwater",2020,11,"003D7727D8","XYTE",1,0,2,439,0,0,"Size Class Two",2020-02-12,"stocking"
"39","Yuma Cove backwater",2020,11,"003D7727DC","XYTE",1,0,2,424,0,0,"Size Class Two",2020-02-12,"stocking"
"40","Yuma Cove backwater",2020,11,"003D7727F3","XYTE",1,0,2,440,0,0,"Size Class Two",2020-02-12,"stocking"
"41","Yuma Cove backwater",2020,11,"003D7727F9","XYTE",1,0,2,464,0,0,"Size Class Two",2020-02-12,"stocking"
"42","Yuma Cove backwater",2020,11,"003D7727FB","XYTE",1,0,2,438,0,0,"Size Class Two",2020-02-12,"stocking"
"43","Yuma Cove backwater",2020,11,"003D772802","XYTE",1,0,2,435,0,0,"Size Class Two",2020-02-12,"stocking"
"44","Yuma Cove backwater",2020,11,"003D772807","XYTE",1,0,2,478,0,0,"Size Class Two",2020-02-12,"stocking"
"45","Yuma Cove backwater",2020,11,"1B7969F243","XYTE",1,0,2,490,0,0,"Size Class Two",2015-05-28,"capture"
"46","Yuma Cove backwater",2020,11,"1B7969F3AE","XYTE",1,0,2,468,0,0,"Size Class Two",2015-05-28,"capture"
"47","Yuma Cove backwater",2020,11,"1B7969F63E","XYTE",1,0,2,478,0,0,"Size Class Two",2015-05-14,"capture"
"48","Yuma Cove backwater",2020,11,"1B796DC30D","XYTE",1,0,3,551,0,0,"Size Class Three",2015-05-14,"capture"
"49","Yuma Cove backwater",2020,11,"1B796DD08A","XYTE",1,0,3,532,0,0,"Size Class Three",2015-05-28,"capture"
"50","Yuma Cove backwater",2020,11,"1B796EDE5A","XYTE",1,0,3,585,0,0,"Size Class Three",2013-02-11,"stocking"
"51","Yuma Cove backwater",2020,11,"1B796EE758","XYTE",1,0,3,565,0,0,"Size Class Three",2013-02-11,"stocking"
"52","Yuma Cove backwater",2020,11,"1B796EE7E7","XYTE",1,0,3,550,0,0,"Size Class Three",2013-02-11,"stocking"
"53","Yuma Cove backwater",2020,11,"1B796EEB0F","XYTE",1,0,3,608,0,0,"Size Class Three",2013-02-11,"stocking"
"54","Yuma Cove backwater",2020,11,"1B796EEE4C","XYTE",1,0,3,575,0,0,"Size Class Three",2013-02-11,"stocking"
"55","Yuma Cove backwater",2020,11,"36F2B283E6","XYTE",1,0,3,519,0,0,"Size Class Three",2013-11-14,"capture"
"56","Yuma Cove backwater",2020,11,"36F2B2841A","XYTE",1,0,3,558,0,0,"Size Class Three",2013-11-14,"capture"
